Alpha-3 code;Cancer code;Population code (ISO/UN);Country;Label;Sex;Number;MIR;Crude rate;Cumulative risk;indicator
GLP;31;312;312;France, Guadeloupe;0;14;0.944444444;35;26;MIR
GUM;31;316;316;Guam;0;0;Inf;0;0;MIR
GTM;31;320;320;Guatemala;0;217;0.833333333;12;16;MIR
GIN;31;324;324;Guinea;0;187;0.864864865;14;35;MIR
GUY;31;328;328;Guyana;0;2;1;25;2;MIR
HTI;31;332;332;Haiti;0;27;0.783783784;23;3;MIR
HND;31;340;340;Honduras;0;351;0.086956522;34;41;MIR
HUN;31;348;348;Hungary;0;683;0.75;71;43;MIR
ISL;31;352;352;Iceland;0;32;0.646341463;93;59;MIR
IND;31;356;356;India;0;27990;0.086956522;2;2;MIR
IDN;31;360;360;Indonesia;0;5259;9;19;18;MIR
IRN;31;364;364;Iran, Islamic Republic of;0;5744;1;67;64;MIR
IRQ;31;368;368;Iraq;0;1485;0.090909091;35;52;MIR
IRL;31;372;372;Ireland;0;331;0.672131148;66;44;MIR
ISR;31;376;376;Israel;0;454;0.745098039;51;42;MIR
ITA;31;380;380;Italy;0;4824;0.642857143;8;4;MIR
CIV;31;384;384;Côte d'Ivoire;0;167;0.916666667;6;11;MIR
JAM;31;388;388;Jamaica;0;48;0.714285714;16;13;MIR
JPN;31;392;392;Japan;0;3169;0.48;25;12;MIR
KAZ;31;398;398;Kazakhstan;0;589;0.756756757;31;29;MIR
JOR;31;400;400;Jordan;0;340;0.8125;33;41;MIR
KEN;31;404;404;Kenya;0;634;0.095238095;11;22;MIR
PRK;31;408;408;Korea, Democratic People Republic of;0;833;0.757575758;32;26;MIR
KOR;31;410;410;Korea, Republic of;0;1620;0.620689655;32;17;MIR
KWT;31;414;414;Kuwait;0;64;0.888888889;15;17;MIR
KGZ;31;417;417;Kyrgyzstan;0;188;0.076923077;28;33;MIR
LAO;31;418;418;Lao People's Democratic Republic;0;167;9;22;27;MIR
LBN;31;422;422;Lebanon;0;256;8.5;38;37;MIR
LSO;31;426;426;Lesotho;0;8;0.914893617;37;4;MIR
LVA;31;428;428;Latvia;0;159;0.707692308;86;51;MIR
LBR;31;430;430;Liberia;0;55;0.791666667;1;19;MIR
LBY;31;434;434;Libya;0;250;0.844444444;36;47;MIR
LTU;31;440;440;Lithuania;0;253;0.779411765;95;55;MIR
LUX;31;442;442;Luxembourg;0;30;0.84375;47;32;MIR
MDG;31;450;450;Madagascar;0;213;0.083333333;73;9;MIR
MWI;31;454;454;Malawi;0;71;0.774193548;35;5;MIR
MYS;31;458;458;Malaysia;0;799;0.88;24;21;MIR
MDV;31;462;462;Maldives;0;7;0.733333333;13;1;MIR
MLI;31;466;466;Mali;0;141;0.923076923;66;13;MIR
MLT;31;470;470;Malta;0;31;0.653846154;7;39;MIR
MTQ;31;474;474;France, Martinique;0;15;0.095238095;4;26;MIR
MRT;31;478;478;Mauritania;0;36;0.923076923;73;13;MIR
MUS;31;480;480;Mauritius;0;30;0.625;24;18;MIR
MEX;31;484;484;Mexico;0;2675;0.730769231;2;2;MIR
MNG;31;496;496;Mongolia;0;77;8.666666667;23;26;MIR
MDA;31;498;498;Moldova;0;265;0.741935484;66;52;MIR
MNE;31;499;499;Montenegro;0;72;0.835443038;115;7;MIR
MAR;31;504;504;Morocco;0;1119;0.771428571;3;28;MIR
MOZ;31;508;508;Mozambique;0;96;0.897435897;29;3;MIR
OMN;31;512;512;Oman;0;110;0.851851852;21;23;MIR
NAM;31;516;516;Namibia;0;29;0.933333333;11;13;MIR
