Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk,indicator
LSO,10,426,426,Lesotho,0,6,0.33,0.28,0.03,incidence
LVA,10,428,428,Latvia,0,27,0.66,1.5,0.09,incidence
LBR,10,430,430,Liberia,0,14,0.4,0.26,0.05,incidence
LBY,10,434,434,Libya,0,16,0.21,0.23,0.02,incidence
LTU,10,440,440,Lithuania,0,33,0.47,1.2,0.05,incidence
LUX,10,442,442,Luxembourg,0,6,0.49,0.93,0.04,incidence
MDG,10,450,450,Madagascar,0,234,1.4,0.8,0.15,incidence
MWI,10,454,454,Malawi,0,95,0.85,0.47,0.11,incidence
MYS,10,458,458,Malaysia,0,99,0.26,0.3,0.03,incidence
MDV,10,462,462,Maldives,0,0,0,0,0,incidence
MLI,10,466,466,Mali,0,65,0.61,0.3,0.06,incidence
MLT,10,470,470,Malta,0,5,0.54,1.1,0.05,incidence
MTQ,10,474,474,"France, Martinique",0,5,0.49,1.3,0.05,incidence
MRT,10,478,478,Mauritania,0,26,0.84,0.53,0.1,incidence
MUS,10,480,480,Mauritius,0,6,0.26,0.47,0.04,incidence
MEX,10,484,484,Mexico,0,348,0.23,0.26,0.02,incidence
MNG,10,496,496,Mongolia,0,10,0.36,0.3,0.04,incidence
MDA,10,498,498,Moldova,0,11,0.18,0.27,0.02,incidence
MNE,10,499,499,Montenegro,0,8,0.66,1.3,0.13,incidence
MAR,10,504,504,Morocco,0,267,0.62,0.71,0.08,incidence
MOZ,10,508,508,Mozambique,0,134,0.66,0.4,0.07,incidence
OMN,10,512,512,Oman,0,24,0.69,0.45,0.08,incidence
NAM,10,516,516,Namibia,0,11,0.67,0.42,0.1,incidence
NPL,10,524,524,Nepal,0,44,0.15,0.15,0.02,incidence
NLD,10,528,528,The Netherlands,0,346,1,2,0.12,incidence
NCL,10,540,540,New Caledonia,0,2,0.51,0.69,0.06,incidence
VUT,10,548,548,Vanuatu,0,1,0.36,0.31,0.03,incidence
NZL,10,554,554,New Zealand,0,73,0.77,1.5,0.09,incidence
NIC,10,558,558,Nicaragua,0,25,0.41,0.37,0.05,incidence
NER,10,562,562,Niger,0,121,0.87,0.46,0.1,incidence
NGA,10,566,566,Nigeria,0,1303,1.3,0.6,0.14,incidence
NOR,10,578,578,Norway,0,103,0.99,1.9,0.12,incidence
PAK,10,586,586,Pakistan,0,626,0.35,0.27,0.04,incidence
PAN,10,591,591,Panama,0,17,0.31,0.38,0.04,incidence
PNG,10,598,598,Papua New Guinea,0,100,1.9,1.1,0.21,incidence
PRY,10,600,600,Paraguay,0,65,0.95,0.89,0.1,incidence
PER,10,604,604,Peru,0,244,0.6,0.72,0.07,incidence
PHL,10,608,608,Philippines,0,241,0.24,0.21,0.03,incidence
POL,10,616,616,Poland,0,502,0.6,1.3,0.07,incidence
PRT,10,620,620,Portugal,0,203,0.74,2,0.09,incidence
GNB,10,624,624,Guinea-Bissau,0,2,0.21,0.1,0.02,incidence
TLS,10,626,626,Timor-Leste,0,0,0,0,0,incidence
PRI,10,630,630,Puerto Rico,0,48,0.75,1.7,0.09,incidence
QAT,10,634,634,Qatar,0,4,0.22,0.13,0.03,incidence
REU,10,638,638,"France, La Réunion",0,10,0.66,1.1,0.08,incidence
ROU,10,642,642,Romania,0,261,0.65,1.4,0.08,incidence
RUS,10,643,643,Russian Federation,0,1366,0.56,0.94,0.06,incidence
RWA,10,646,646,Rwanda,0,19,0.23,0.14,0.03,incidence
LCA,10,662,662,Saint Lucia,0,0,0,0,0,incidence
STP,10,678,678,Sao Tome and Principe,0,0,0,0,0,incidence
SAU,10,682,682,Saudi Arabia,0,88,0.28,0.25,0.03,incidence
SEN,10,686,686,Senegal,0,67,0.66,0.38,0.07,incidence
SRB,10,688,688,Serbia,0,117,0.61,1.4,0.07,incidence
SLE,10,694,694,Sierra Leone,0,3,0.04,0.04,0,incidence
SGP,10,702,702,Singapore,0,69,0.6,1.2,0.07,incidence
SVK,10,703,703,Slovakia,0,116,1,2.1,0.12,incidence
VNM,10,704,704,Viet Nam,0,542,0.44,0.55,0.05,incidence
SVN,10,705,705,Slovenia,0,13,0.25,0.63,0.03,incidence
SOM,10,706,706,Somalia,0,43,0.5,0.26,0.05,incidence
ZAF,10,710,710,South Africa,0,501,0.83,0.82,0.09,incidence
ZWE,10,716,716,Zimbabwe,0,86,0.98,0.56,0.1,incidence
ESP,10,724,724,Spain,0,591,0.6,1.3,0.07,incidence
SSD,10,728,728,South Sudan,0,32,0.46,0.28,0.06,incidence
SDN,10,729,729,Sudan,0,50,0.12,0.11,0.01,incidence
SUR,10,740,740,Suriname,0,2,0.28,0.34,0.02,incidence
SWZ,10,748,748,Eswatini,0,7,0.85,0.59,0.08,incidence
SWE,10,752,752,Sweden,0,210,1,2.1,0.12,incidence
CHE,10,756,756,Switzerland,0,264,1.4,3,0.17,incidence
SYR,10,760,760,Syrian Arab Republic,0,24,0.16,0.12,0.02,incidence
TJK,10,762,762,Tajikistan,0,38,0.51,0.38,0.06,incidence
THA,10,764,764,Thailand,0,337,0.27,0.48,0.03,incidence
TGO,10,768,768,Togo,0,41,0.77,0.47,0.1,incidence
TTO,10,780,780,Trinidad and Tobago,0,17,0.79,1.2,0.09,incidence
ARE,10,784,784,United Arab Emirates,0,12,0.21,0.12,0.03,incidence
TUN,10,788,788,Tunisia,0,82,0.52,0.68,0.06,incidence
TUR,10,792,792,Türkiye,0,260,0.24,0.3,0.03,incidence
